id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B)
49,2017,Kanpur,10-05-2017,GL,DC,DC,field,normal,0,DC,0,2,SS Iyer,Green Park,YC Barde,AK Chaudhary,,650,623,518,452,0.75,0.4375,50,64,-0.412,-0.512,481,464,0.5,0.5
50,2017,Mumbai,11-05-2017,KXIP,MI,MI,field,normal,0,KXIP,7,0,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,,637,697,580,644,0.40625,0.554054054,71,68,-0.009,0.784,618.5,592.5,0.5,0.5
51,2017,Delhi,12-05-2017,DC,RPS,DC,bat,normal,0,DC,7,0,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan,,623,477,452,707,0.4375,0,54,53,-0.512,0.176,464,0,0,1
52,2017,Kanpur,13-05-2017,GL,SRH,SRH,field,normal,0,SRH,0,8,Mohammed Siraj,Green Park,AK Chaudhary,Nitin Menon,,650,765,518,682,0.75,0.466666667,61,47,-0.412,0.599,481,688,0,1
53,2017,Kolkata,13-05-2017,MI,KKR,KKR,field,normal,0,MI,9,0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi,,697,623,644,560,0.554054054,0.550724638,51,53,0.784,0.642,592.5,691,0.72,0.28
54,2017,Pune,14-05-2017,KXIP,RPS,RPS,field,normal,0,RPS,0,9,JD Unadkat,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,,637,477,580,707,0.40625,0,32,43,-0.009,0.176,618.5,0,0.5,0.5
55,2017,Delhi,14-05-2017,RCB,DC,RCB,bat,normal,0,RCB,10,0,HV Patel,Feroz Shah Kotla,CK Nandan,C ShamshuDCin,,477,623,852,452,0.540983607,0.4375,37,42,-1.299,-0.512,464,464,0.625,0.375
56,2017,Mumbai,16-05-2017,RPS,MI,MI,field,normal,0,RPS,20,0,Washington Sundar,Wankhede Stadium,S Ravi,C ShamshuDCin,,477,697,707,644,0,0.554054054,33,42,0.176,0.784,0,592.5,0.5,0.5
57,2017,Bangalore,17-05-2017,SRH,KKR,KKR,field,normal,1,KKR,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,AK Chaudhary,Nitin Menon,,765,623,682,560,0.466666667,0.550724638,30,48,0.599,0.642,688,691,0.33,0.67
58,2017,Bangalore,19-05-2017,KKR,MI,MI,field,normal,0,MI,0,6,KV Sharma,M Chinnaswamy Stadium,NJ Llong,Nitin Menon,,623,697,560,644,0.550724638,0.554054054,25,36,0.642,0.784,691,592.5,0.28,0.72
