id,season,team A,team B,Win_ratio_A,Win_ratio_B
341,2013,Delhi Daredevils,Chennai Super Kings,0.4,0.6
342,2013,Delhi Daredevils,Rajasthan Royals,0.4,0.6
343,2013,Delhi Daredevils,Deccan Chargers,0.64,0.36
344,2013,Delhi Daredevils,Kochi Tuskers Kerala,0.5,0.5
345,2013,Delhi Daredevils,Pune Warriors,0.7,0.3
346,2013,Kings XI Punjab,Mumbai Indians,0.6,0.4
347,2013,Kings XI Punjab,Rising Pune Supergiants,0,0
348,2013,Kings XI Punjab,Gujarat Lions,0,0
349,2013,Kings XI Punjab,Kolkata Knight Riders,0.45,0.55
350,2013,Kings XI Punjab,Chennai Super Kings,0.4,0.6
351,2013,Kings XI Punjab,Rajasthan Royals,0.3,0.7
352,2013,Kings XI Punjab,Deccan Chargers,0.7,0.3
353,2013,Kings XI Punjab,Kochi Tuskers Kerala,1,0
354,2013,Kings XI Punjab,Pune Warriors,0.25,0.75
355,2013,Mumbai Indians,Rising Pune Supergiants,0,0
356,2013,Mumbai Indians,Gujarat Lions,0,0
357,2013,Mumbai Indians,Kolkata Knight Riders,0.8,0.2
358,2013,Mumbai Indians,Chennai Super Kings,0.55,0.45
359,2013,Mumbai Indians,Rajasthan Royals,0.56,0.44
360,2013,Mumbai Indians,Deccan Chargers,0.6,0.4
361,2013,Mumbai Indians,Kochi Tuskers Kerala,0,1
362,2013,Mumbai Indians,Pune Warriors,0.75,0.25
363,2013,Rising Pune Supergiants,Gujarat Lions,0,0
364,2013,Rising Pune Supergiants,Kolkata Knight Riders,0,0
365,2013,Rising Pune Supergiants,Chennai Super Kings,0,0
366,2013,Rising Pune Supergiants,Rajasthan Royals,0,0
367,2013,Rising Pune Supergiants,Deccan Chargers,0,0
368,2013,Rising Pune Supergiants,Kochi Tuskers Kerala,0,0
369,2013,Rising Pune Supergiants,Pune Warriors,0,0
370,2013,Gujarat Lions,Kolkata Knight Riders,0,0
371,2013,Gujarat Lions,Chennai Super Kings,0,0
372,2013,Gujarat Lions,Rajasthan Royals,0,0
373,2013,Gujarat Lions,Deccan Chargers,0,0
374,2013,Gujarat Lions,Kochi Tuskers Kerala,0,0
375,2013,Gujarat Lions,Pune Warriors,0,0
376,2013,Kolkata Knight Riders,Chennai Super Kings,0.4,0.6
377,2013,Kolkata Knight Riders,Rajasthan Royals,0.5,0.5
378,2013,Kolkata Knight Riders,Deccan Chargers,0.78,0.22
379,2013,Kolkata Knight Riders,Kochi Tuskers Kerala,0,1
380,2013,Kolkata Knight Riders,Pune Warriors,1,0
381,2013,Chennai Super Kings,Rajasthan Royals,0.64,0.36
382,2013,Chennai Super Kings,Deccan Chargers,0.6,0.4
383,2013,Chennai Super Kings,Kochi Tuskers Kerala,0.5,0.5
384,2013,Chennai Super Kings,Pune Warriors,0.75,0.25
385,2013,Rajasthan Royals,Deccan Chargers,0.78,0.22
386,2013,Rajasthan Royals,Kochi Tuskers Kerala,0.5,0.5
387,2013,Rajasthan Royals,Pune Warriors,1,0
388,2013,Deccan Chargers,Kochi Tuskers Kerala,1,0
389,2013,Deccan Chargers,Pune Warriors,0.75,0.25
390,2013,Kochi Tuskers Kerala,Pune Warriors,0,1
308,2012,Chennai Super Kings,Mumbai Indians,0.6,0.4
309,2012,Kolkata Knight Riders,Delhi Daredevils,0.6,0.4
310,2012,Pune Warriors,Mumbai Indians,0,1
311,2012,Rajasthan Royals,Kings XI Punjab,1,0
312,2012,Royal Challengers Bangalore,Delhi Daredevils,0,1
313,2012,Chennai Super Kings,Deccan Chargers,0.5,0.5
314,2012,Rajasthan Royals,Kolkata Knight Riders,0.5,0.5
315,2012,Pune Warriors,Kings XI Punjab,1,0
316,2012,Deccan Chargers,Mumbai Indians,1,0
317,2012,Kolkata Knight Riders,Royal Challengers Bangalore,0.28,0.71
318,2012,Chennai Super Kings,Delhi Daredevils,0.5,0.5
319,2012,Mumbai Indians,Rajasthan Royals,0.4,0.6
320,2012,Royal Challengers Bangalore,Chennai Super Kings,0.5,0.5
321,2012,Pune Warriors,Kings XI Punjab,0,1
322,2012,Rajasthan Royals,Kolkata Knight Riders,0.42,0.57
323,2012,Deccan Chargers,Delhi Daredevils,0.5,0.5
324,2012,Chennai Super Kings,Pune Warriors,0,1
325,2012,Kings XI Punjab,Kolkata Knight Riders,0.25,0.75
326,2012,Rajasthan Royals,Royal Challengers Bangalore,0.25,0.75
327,2012,Mumbai Indians,Delhi Daredevils,0.57,0.42
328,2012,Deccan Chargers,Rajasthan Royals,0.83,0.16
329,2012,Pune Warriors,Royal Challengers Bangalore,0,1
330,2012,Kings XI Punjab,Kolkata Knight Riders,0.25,0.75
331,2012,Deccan Chargers,Delhi Daredevils,0.5,0.5
332,2012,Chennai Super Kings,Pune Warriors,1,0
333,2012,Kings XI Punjab,Royal Challengers Bangalore,0.4,0.6
334,2012,Rajasthan Royals,Chennai Super Kings,0.5,0.5
335,2012,Pune Warriors,Delhi Daredevils,1,0
336,2012,Mumbai Indians,Kings XI Punjab,0.5,0.5
337,2012,Deccan Chargers,Kolkata Knight Riders,0,1
338,2012,Royal Challengers Bangalore,Rajasthan Royals,0.3,0.7
339,2012,Pune Warriors,Delhi Daredevils,0,1
340,2012,Kings XI Punjab,Mumbai Indians,0.6,0.4
341,2012,Deccan Chargers,Pune Warriors,1,0
342,2012,Delhi Daredevils,Mumbai Indians,0,1
